locus_tag,GCI,gene_name
b1181,-0.6101442147110242,ycgN
b1182,-0.3230431642609765,hlyE
b1183,-0.39910206284197136,umuD
b1184,-0.3788364372987842,umuC
b1187,-0.24283278933989222,fadR
b1188,-0.5422627869142898,ycgB
b1189,-0.08049181625884197,dadA
b1190,-0.11693848787611939,dadX
b1191,-0.40945175897788155,cvrA
b1193,-0.31466567306366444,emtA
b1194,-0.12725705051251943,ycgR
b1195,-0.6059963368882815,ymgE
b1196,-0.41541644033139496,ycgY
b1197,-0.48586121599109977,treA
b1202,-0.3048295286368622,ycgV
b1204,-0.24823714335406466,pth
b1205,-0.273455806399034,ychH
b1207,-0.2225925272791387,prs
b1208,-0.22404513236808513,ispE
b1213,-0.1978616477130631,ychQ
b1214,-0.19362604210182663,ychA
b1217,-0.4762751210271569,chaB
b1218,-0.49284952223895234,chaC
b1219,-0.306658206155122,ychN
b1220,-0.4730209418165128,ychO
b1225,-0.013104080864512329,narH
b1226,-8.674327685681134e-4,narJ
b1227,-0.05240791512941791,narI
b1233,-0.2213546249683945,ychJ
b1234,-0.5009651021917343,rssA
b1235,-0.5182292973744517,rssB
b1236,-0.022819248457474028,galU
b1238,-0.25069352553085367,tdk
b1242,-0.08864416007105944,ychE
b1248,-0.08521645475153432,yciU
b1250,-0.4281854082413718,kch
b1251,-0.3298705401005627,yciI
b1252,-0.365807186870663,tonB
b1253,-0.2186540871198196,yciA
b1254,-0.29059138221241315,yciB
b1255,-0.15225838084941237,yciC
b1257,-0.5174501154854849,yciE
b1258,-0.5068500908837928,yciF
b1259,-0.6730396748115349,yciG
b1266,-0.27401221211888893,yciV
b1267,-0.24363020616782136,yciO
